,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.8558268079226163,0.9078006025463776,0.740627390971691,0.6173469387755102,0.6733913043478261,0.5858342263511627
Decision Tree,0.810379241516966,0.752524517137492,0.5992844364937389,0.6409438775510204,0.6194144838212635,0.493832928140804
KNN,0.8366344234607708,0.8679168558222075,0.6774647887323944,0.6135204081632653,0.643908969210174,0.5393626380610169
Naive Bayes,0.5381544603101489,0.749485733373228,0.33739837398373984,0.9528061224489796,0.4983322214809873,0.3294378587548402
Random Forest,0.8575157377552587,0.9068313308639937,0.7356406480117821,0.6371173469387755,0.6828434723171565,0.5941147548173841
